timestamp,hour,day_of_week,event_type,severity
2025-03-05 06:00:00,6,2,Fire,Critical
2025-07-11 15:00:00,15,4,Traffic,Low
2025-12-13 18:00:00,18,5,Protest,Critical
2025-01-29 20:00:00,20,2,Weather,Low
2025-10-19 14:00:00,14,6,Fire,Low
2025-06-02 01:00:00,1,0,Fire,Medium
2025-06-17 06:00:00,6,1,Accident,Low
2025-04-18 07:00:00,7,4,Protest,Medium
2025-04-11 22:00:00,22,4,Traffic,Medium
2025-07-27 12:00:00,12,6,Protest,Low
2025-03-26 13:00:00,13,2,Fire,Critical
2025-11-15 07:00:00,7,5,Fire,High
2025-03-19 23:00:00,23,2,Weather,Low
2025-11-27 10:00:00,10,3,Protest,Critical
2025-12-09 14:00:00,14,1,Fire,Low
2025-10-20 14:00:00,14,0,Accident,High
2025-04-18 14:00:00,14,4,Accident,High
2025-06-19 17:00:00,17,3,Protest,Low
2025-11-22 11:00:00,11,5,Weather,Low
2025-10-26 19:00:00,19,6,Traffic,Critical
2025-08-10 11:00:00,11,6,Weather,Critical
2025-02-16 13:00:00,13,6,Fire,Critical
2025-03-04 07:00:00,7,1,Weather,Low
2025-10-13 09:00:00,9,0,Fire,Critical
2025-05-03 00:00:00,0,5,Traffic,Low
2025-11-08 16:00:00,16,5,Protest,Critical
2025-07-20 12:00:00,12,6,Traffic,Low
2025-07-11 07:00:00,7,4,Traffic,Medium
2025-06-29 06:00:00,6,6,Traffic,Low
2025-08-01 15:00:00,15,4,Accident,High
2025-06-08 13:00:00,13,6,Accident,High
2025-10-29 15:00:00,15,2,Weather,Low
2025-12-05 06:00:00,6,4,Fire,Medium
2025-08-10 09:00:00,9,6,Protest,Medium
2025-01-03 05:00:00,5,4,Fire,Critical
2025-09-12 17:00:00,17,4,Weather,High
2025-10-25 07:00:00,7,5,Protest,Low
2025-06-03 03:00:00,3,1,Protest,High
2025-02-02 14:00:00,14,6,Protest,Critical
2025-02-28 14:00:00,14,4,Weather,Low
2025-12-08 01:00:00,1,0,Fire,Critical
2025-11-10 16:00:00,16,0,Accident,High
2025-11-11 11:00:00,11,1,Protest,Medium
2025-01-03 04:00:00,4,4,Accident,Medium
2025-07-17 03:00:00,3,3,Traffic,Low
2025-09-24 16:00:00,16,2,Traffic,Low
2025-02-02 10:00:00,10,6,Fire,High
2025-08-26 18:00:00,18,1,Fire,Medium
2025-06-09 03:00:00,3,0,Weather,Critical
2025-04-10 08:00:00,8,3,Fire,Critical
2025-02-21 03:00:00,3,4,Fire,Critical
2025-05-01 06:00:00,6,3,Weather,Low
2025-03-02 05:00:00,5,6,Fire,High
2025-04-12 10:00:00,10,5,Weather,Low
2025-11-30 14:00:00,14,6,Protest,Medium
2025-04-08 22:00:00,22,1,Fire,Medium
2025-09-01 06:00:00,6,0,Accident,High
2025-07-08 19:00:00,19,1,Fire,Low
2025-03-28 20:00:00,20,4,Traffic,Low
2025-12-23 01:00:00,1,1,Weather,Low
2025-11-25 04:00:00,4,1,Weather,Low
2025-08-07 05:00:00,5,3,Protest,Critical
2025-07-17 18:00:00,18,3,Accident,Critical
2025-07-11 07:00:00,7,4,Accident,High
2025-06-21 07:00:00,7,5,Protest,Low
2025-01-02 13:00:00,13,3,Accident,Medium
2025-12-23 06:00:00,6,1,Fire,Medium
2025-10-26 02:00:00,2,6,Traffic,Low
2025-09-29 04:00:00,4,0,Accident,Medium
2025-01-18 07:00:00,7,5,Traffic,Low
2025-10-16 10:00:00,10,3,Weather,Low
2025-11-21 04:00:00,4,4,Accident,High
2025-09-30 00:00:00,0,1,Traffic,Low
2025-10-12 15:00:00,15,6,Fire,Medium
2025-03-19 03:00:00,3,2,Accident,Medium
2025-09-21 14:00:00,14,6,Protest,High
2025-11-09 18:00:00,18,6,Protest,High
2025-08-16 17:00:00,17,5,Weather,Medium
2025-07-10 14:00:00,14,3,Fire,Critical
2025-11-10 05:00:00,5,0,Accident,Medium
2025-07-27 20:00:00,20,6,Protest,Medium
2025-08-26 14:00:00,14,1,Traffic,Medium
2025-08-05 11:00:00,11,1,Weather,Medium
2025-12-23 16:00:00,16,1,Protest,Medium
2025-09-14 00:00:00,0,6,Weather,Medium
2025-05-25 12:00:00,12,6,Accident,High
2025-10-12 17:00:00,17,6,Accident,Medium
2025-03-29 02:00:00,2,5,Weather,Low
2025-06-26 03:00:00,3,3,Traffic,Low
2025-03-18 08:00:00,8,1,Weather,Low
2025-03-08 10:00:00,10,5,Traffic,Medium
2025-06-12 15:00:00,15,3,Traffic,Low
2025-11-29 16:00:00,16,5,Accident,High
2025-11-19 14:00:00,14,2,Accident,Medium
2025-12-13 19:00:00,19,5,Weather,Low
2025-09-26 05:00:00,5,4,Weather,Critical
2025-05-04 03:00:00,3,6,Protest,Medium
2025-02-27 11:00:00,11,3,Accident,Low
2025-05-21 00:00:00,0,2,Protest,Low
2025-01-04 08:00:00,8,5,Accident,High
2025-05-24 02:00:00,2,5,Accident,Medium
2025-12-30 04:00:00,4,1,Traffic,Low
2025-03-07 00:00:00,0,4,Weather,Low
2025-12-16 18:00:00,18,1,Weather,Low
2025-07-03 02:00:00,2,3,Accident,Medium
2025-06-01 22:00:00,22,6,Fire,Medium
2025-03-30 15:00:00,15,6,Weather,Low
2025-04-05 02:00:00,2,5,Accident,Medium
2025-04-17 16:00:00,16,3,Traffic,Low
2025-01-11 15:00:00,15,5,Weather,Low
2025-04-28 20:00:00,20,0,Traffic,Medium
2025-01-18 00:00:00,0,5,Protest,High
2025-02-06 17:00:00,17,3,Accident,Medium
2025-02-11 06:00:00,6,1,Accident,High
2025-02-08 13:00:00,13,5,Fire,Critical
2025-03-18 21:00:00,21,1,Fire,Medium
2025-09-09 23:00:00,23,1,Protest,Critical
2025-01-26 05:00:00,5,6,Protest,High
2025-02-15 19:00:00,19,5,Traffic,Critical
2025-10-14 18:00:00,18,1,Fire,Low
2025-12-30 00:00:00,0,1,Protest,High
2025-05-27 21:00:00,21,1,Traffic,Low
2025-02-08 17:00:00,17,5,Traffic,High
2025-12-12 08:00:00,8,4,Accident,Critical
2025-03-05 02:00:00,2,2,Accident,Medium
2025-08-26 05:00:00,5,1,Traffic,Medium
2025-01-18 20:00:00,20,5,Protest,Critical
2025-09-05 07:00:00,7,4,Weather,Medium
2025-02-23 01:00:00,1,6,Accident,Medium
2025-05-14 23:00:00,23,2,Fire,High
2025-08-14 22:00:00,22,3,Weather,Critical
2025-01-14 04:00:00,4,1,Fire,Medium
2025-10-07 04:00:00,4,1,Fire,High
2025-08-18 21:00:00,21,0,Fire,High
2025-02-18 02:00:00,2,1,Fire,Medium
2025-11-18 09:00:00,9,1,Protest,Critical
2025-02-10 23:00:00,23,0,Protest,High
2025-04-27 08:00:00,8,6,Protest,High
2025-09-30 14:00:00,14,1,Fire,High
2025-10-07 04:00:00,4,1,Weather,Low
2025-01-10 17:00:00,17,4,Accident,Medium
2025-06-17 18:00:00,18,1,Protest,Low
2025-04-22 16:00:00,16,1,Weather,Low
2025-08-17 13:00:00,13,6,Weather,Medium
2025-01-30 00:00:00,0,3,Protest,Low
2025-01-23 02:00:00,2,3,Traffic,Low
2025-05-01 08:00:00,8,3,Fire,Medium
2025-05-29 22:00:00,22,3,Weather,Low
2025-02-22 23:00:00,23,5,Weather,Low
2025-05-09 16:00:00,16,4,Protest,High
2025-12-01 23:00:00,23,0,Accident,High
2025-07-09 19:00:00,19,2,Traffic,Medium
2025-12-27 14:00:00,14,5,Accident,Medium
2025-10-02 02:00:00,2,3,Traffic,Low
2025-11-06 11:00:00,11,3,Weather,Low
2025-04-17 01:00:00,1,3,Traffic,Low
2025-04-21 12:00:00,12,0,Weather,Low
2025-01-05 09:00:00,9,6,Accident,High
2025-07-11 15:00:00,15,4,Protest,Low
2025-07-06 12:00:00,12,6,Weather,Medium
2025-04-15 11:00:00,11,1,Protest,Medium
2025-05-07 18:00:00,18,2,Weather,Low
2025-06-10 10:00:00,10,1,Traffic,High
2025-01-12 02:00:00,2,6,Protest,High
2025-08-20 12:00:00,12,2,Protest,Critical
2025-09-18 13:00:00,13,3,Accident,Medium
2025-05-21 21:00:00,21,2,Accident,High
2025-09-23 15:00:00,15,1,Weather,High
2025-08-08 22:00:00,22,4,Fire,Medium
2025-12-01 02:00:00,2,0,Weather,Low
2025-12-05 12:00:00,12,4,Accident,Critical
2025-01-19 18:00:00,18,6,Protest,Medium
2025-05-11 22:00:00,22,6,Traffic,Low
2025-04-06 00:00:00,0,6,Accident,Medium
2025-12-26 10:00:00,10,4,Weather,Low
2025-05-28 23:00:00,23,2,Accident,Low
2025-02-15 06:00:00,6,5,Accident,Medium
2025-03-11 20:00:00,20,1,Accident,Medium
2025-01-30 16:00:00,16,3,Weather,Low
2025-05-26 01:00:00,1,0,Accident,Medium
2025-05-08 23:00:00,23,3,Protest,Critical
2025-09-08 10:00:00,10,0,Fire,High
2025-04-18 04:00:00,4,4,Weather,Low
2025-03-18 14:00:00,14,1,Accident,High
2025-05-04 17:00:00,17,6,Accident,Medium
2025-01-03 23:00:00,23,4,Accident,Critical
2025-02-28 03:00:00,3,4,Accident,Medium
2025-07-13 10:00:00,10,6,Protest,High
2025-12-11 02:00:00,2,3,Weather,Low
2025-01-30 04:00:00,4,3,Protest,Medium
2025-06-13 11:00:00,11,4,Fire,High
2025-02-05 03:00:00,3,2,Traffic,Medium
2025-05-04 19:00:00,19,6,Protest,Low
2025-04-29 16:00:00,16,1,Accident,Medium
2025-09-11 09:00:00,9,3,Weather,Critical
2025-02-06 07:00:00,7,3,Fire,Low
2025-11-13 11:00:00,11,3,Protest,High
2025-03-22 08:00:00,8,5,Traffic,High
2025-10-11 08:00:00,8,5,Accident,Low
2025-12-25 08:00:00,8,3,Protest,Low
2025-03-29 15:00:00,15,5,Traffic,Low
2025-11-24 17:00:00,17,0,Traffic,Medium
2025-11-17 01:00:00,1,0,Traffic,Low
2025-04-14 09:00:00,9,0,Weather,Low
2025-05-16 21:00:00,21,4,Fire,Critical
2025-09-12 01:00:00,1,4,Traffic,Low
2025-09-14 23:00:00,23,6,Traffic,Medium
2025-11-21 02:00:00,2,4,Protest,Medium
2025-02-08 07:00:00,7,5,Traffic,Low
2025-07-29 17:00:00,17,1,Protest,Low
2025-06-10 06:00:00,6,1,Fire,Low
2025-03-30 09:00:00,9,6,Traffic,Medium
2025-11-30 19:00:00,19,6,Accident,High
2025-12-03 17:00:00,17,2,Weather,Low
2025-09-15 20:00:00,20,0,Accident,Low
2025-07-13 12:00:00,12,6,Fire,Low
2025-10-29 07:00:00,7,2,Protest,High
2025-06-08 02:00:00,2,6,Protest,High
2025-04-05 18:00:00,18,5,Protest,Critical
2025-08-17 14:00:00,14,6,Protest,Low
2025-06-25 03:00:00,3,2,Traffic,Medium
2025-02-16 13:00:00,13,6,Protest,Medium
2025-04-22 09:00:00,9,1,Traffic,Medium
2025-08-08 10:00:00,10,4,Weather,Medium
2025-09-07 05:00:00,5,6,Traffic,Low
2025-06-18 07:00:00,7,2,Traffic,Medium
2025-12-15 07:00:00,7,0,Protest,Medium
2025-02-16 08:00:00,8,6,Weather,Low
2025-06-20 19:00:00,19,4,Accident,High
2025-08-26 10:00:00,10,1,Traffic,Low
2025-09-17 00:00:00,0,2,Accident,High
2025-06-16 16:00:00,16,0,Fire,Critical
2025-05-04 01:00:00,1,6,Fire,Medium
2025-11-01 11:00:00,11,5,Protest,Critical
2025-07-01 07:00:00,7,1,Protest,Medium
2025-06-23 08:00:00,8,0,Accident,Medium
2025-03-07 03:00:00,3,4,Weather,Low
2025-07-21 05:00:00,5,0,Weather,Critical
2025-09-21 09:00:00,9,6,Protest,Critical
2025-11-11 07:00:00,7,1,Traffic,Medium
2025-09-10 23:00:00,23,2,Traffic,Low
2025-04-23 06:00:00,6,2,Weather,Low
2025-08-15 20:00:00,20,4,Fire,Medium
2025-03-16 02:00:00,2,6,Accident,High
2025-08-23 09:00:00,9,5,Traffic,High
2025-12-21 02:00:00,2,6,Protest,Medium
2025-11-11 10:00:00,10,1,Fire,High
2025-04-23 07:00:00,7,2,Traffic,Low
2025-04-29 00:00:00,0,1,Weather,Low
2025-09-22 15:00:00,15,0,Fire,Low
2025-10-19 22:00:00,22,6,Weather,Low
2025-04-08 12:00:00,12,1,Fire,Critical
2025-07-10 10:00:00,10,3,Traffic,Critical
2025-03-25 10:00:00,10,1,Fire,Critical
2025-07-12 08:00:00,8,5,Weather,Medium
2025-04-26 06:00:00,6,5,Traffic,Low
2025-08-04 23:00:00,23,0,Accident,Medium
2025-10-07 11:00:00,11,1,Traffic,Low
2025-01-07 23:00:00,23,1,Weather,Low
2025-12-11 09:00:00,9,3,Fire,High
2025-03-25 16:00:00,16,1,Fire,Critical
2025-02-19 10:00:00,10,2,Traffic,High
2025-10-13 19:00:00,19,0,Protest,Critical
2025-07-25 17:00:00,17,4,Fire,Low
2025-09-23 18:00:00,18,1,Accident,Medium
2025-10-10 02:00:00,2,4,Weather,Low
2025-05-03 18:00:00,18,5,Fire,Low
2025-05-11 02:00:00,2,6,Traffic,Low
2025-09-19 16:00:00,16,4,Protest,Critical
2025-04-18 23:00:00,23,4,Protest,Critical
2025-04-08 20:00:00,20,1,Protest,High
2025-01-01 07:00:00,7,2,Fire,High
2025-10-09 22:00:00,22,3,Weather,Low
2025-12-24 23:00:00,23,2,Protest,High
2025-06-26 07:00:00,7,3,Weather,Low
2025-01-03 10:00:00,10,4,Fire,Medium
2025-10-01 08:00:00,8,2,Accident,Medium
2025-05-16 01:00:00,1,4,Weather,Low
2025-12-30 06:00:00,6,1,Protest,Critical
2025-12-04 02:00:00,2,3,Weather,Low
2025-05-02 11:00:00,11,4,Traffic,Low
2025-05-24 00:00:00,0,5,Traffic,Medium
2025-08-06 19:00:00,19,2,Protest,Medium
2025-03-30 13:00:00,13,6,Protest,High
2025-02-22 20:00:00,20,5,Accident,Medium
2025-02-14 14:00:00,14,4,Fire,Medium
2025-02-25 06:00:00,6,1,Accident,Medium
2025-09-11 01:00:00,1,3,Accident,Low
2025-01-06 00:00:00,0,0,Traffic,Low
2025-09-08 07:00:00,7,0,Traffic,Low
2025-11-18 18:00:00,18,1,Traffic,Medium
2025-03-20 16:00:00,16,3,Traffic,High
2025-05-10 21:00:00,21,5,Accident,High
2025-11-15 04:00:00,4,5,Protest,Low
2025-01-17 21:00:00,21,4,Traffic,Low
2025-09-20 14:00:00,14,5,Weather,Critical
2025-11-28 08:00:00,8,4,Fire,Critical
2025-12-13 12:00:00,12,5,Accident,Medium
2025-04-29 11:00:00,11,1,Accident,High
2025-01-23 04:00:00,4,3,Weather,Low
2025-08-24 15:00:00,15,6,Accident,High
2025-12-21 16:00:00,16,6,Traffic,Low
2025-02-04 15:00:00,15,1,Traffic,High
2025-11-22 07:00:00,7,5,Fire,Medium
2025-05-08 14:00:00,14,3,Weather,Low
2025-03-31 20:00:00,20,0,Accident,Medium
2025-08-07 19:00:00,19,3,Fire,Medium
2025-02-15 16:00:00,16,5,Accident,Medium
2025-10-01 02:00:00,2,2,Traffic,Low
2025-09-29 05:00:00,5,0,Weather,Medium
2025-09-26 08:00:00,8,4,Accident,High
2025-11-06 14:00:00,14,3,Traffic,Low
2025-01-29 04:00:00,4,2,Accident,Critical
2025-08-07 23:00:00,23,3,Accident,Medium
2025-12-11 01:00:00,1,3,Accident,Medium
2025-07-31 07:00:00,7,3,Fire,Medium
2025-10-18 17:00:00,17,5,Fire,Critical
2025-10-10 19:00:00,19,4,Protest,Medium
2025-03-01 23:00:00,23,5,Fire,Critical
2025-12-13 19:00:00,19,5,Accident,Critical
2025-11-30 07:00:00,7,6,Weather,Low
2025-09-09 19:00:00,19,1,Accident,High
2025-05-31 08:00:00,8,5,Fire,Medium
2025-01-16 14:00:00,14,3,Accident,Medium
2025-08-04 18:00:00,18,0,Fire,Critical
2025-03-07 15:00:00,15,4,Traffic,Medium
2025-10-14 17:00:00,17,1,Protest,High
2025-02-14 18:00:00,18,4,Traffic,Low
2025-01-18 08:00:00,8,5,Accident,High
2025-03-11 15:00:00,15,1,Weather,Low
2025-11-28 01:00:00,1,4,Weather,Low
2025-08-08 00:00:00,0,4,Traffic,Low
2025-02-17 03:00:00,3,0,Weather,Low
2025-06-11 19:00:00,19,2,Traffic,Medium
2025-06-11 10:00:00,10,2,Accident,Medium
2025-07-09 18:00:00,18,2,Weather,Medium
2025-08-25 07:00:00,7,0,Accident,Medium
2025-03-11 16:00:00,16,1,Protest,Medium
2025-04-27 17:00:00,17,6,Accident,High
2025-01-02 13:00:00,13,3,Traffic,Low
2025-12-09 00:00:00,0,1,Traffic,Medium
2025-12-14 12:00:00,12,6,Protest,Low
2025-06-09 19:00:00,19,0,Traffic,High
2025-03-19 15:00:00,15,2,Weather,Low
2025-12-12 08:00:00,8,4,Protest,High
2025-11-12 20:00:00,20,2,Weather,Low
2025-09-27 20:00:00,20,5,Weather,High
2025-05-19 19:00:00,19,0,Protest,Medium
2025-03-14 21:00:00,21,4,Fire,High
2025-05-30 22:00:00,22,4,Traffic,Medium
2025-06-16 11:00:00,11,0,Fire,Low
2025-07-13 00:00:00,0,6,Accident,Low
2025-05-03 01:00:00,1,5,Fire,High
2025-06-29 10:00:00,10,6,Weather,High
2025-06-20 20:00:00,20,4,Fire,Critical
2025-01-10 07:00:00,7,4,Fire,Critical
2025-05-19 09:00:00,9,0,Protest,High
2025-06-28 22:00:00,22,5,Traffic,Low
2025-06-01 00:00:00,0,6,Protest,Critical
2025-03-29 13:00:00,13,5,Accident,Medium
2025-12-21 07:00:00,7,6,Traffic,Low
2025-03-31 00:00:00,0,0,Accident,Medium
2025-03-28 05:00:00,5,4,Weather,Low
2025-03-26 06:00:00,6,2,Accident,High
2025-12-01 19:00:00,19,0,Fire,High
2025-07-07 05:00:00,5,0,Fire,Low
2025-04-19 08:00:00,8,5,Traffic,High
2025-10-12 12:00:00,12,6,Fire,Critical
2025-10-10 03:00:00,3,4,Traffic,Low
2025-03-19 18:00:00,18,2,Fire,Medium
2025-10-25 09:00:00,9,5,Weather,Low
2025-06-22 04:00:00,4,6,Traffic,Low
2025-04-16 23:00:00,23,2,Weather,Low
2025-10-07 18:00:00,18,1,Weather,Low
2025-11-12 02:00:00,2,2,Protest,Low
2025-03-05 20:00:00,20,2,Traffic,High
2025-08-21 15:00:00,15,3,Protest,High
2025-06-21 04:00:00,4,5,Accident,Medium
2025-04-29 05:00:00,5,1,Weather,Low
2025-08-15 21:00:00,21,4,Fire,Critical
2025-04-08 16:00:00,16,1,Traffic,Low
2025-11-13 16:00:00,16,3,Traffic,Medium
2025-11-17 10:00:00,10,0,Accident,High
2025-04-11 08:00:00,8,4,Traffic,Critical
2025-04-14 13:00:00,13,0,Fire,Medium
2025-12-24 01:00:00,1,2,Accident,Medium
2025-08-03 03:00:00,3,6,Accident,Low
2025-12-21 07:00:00,7,6,Accident,Medium
2025-03-15 10:00:00,10,5,Accident,Medium
2025-11-02 19:00:00,19,6,Traffic,High
2025-12-27 22:00:00,22,5,Traffic,Medium
2025-09-29 09:00:00,9,0,Accident,Medium
2025-12-18 11:00:00,11,3,Fire,Medium
2025-07-12 21:00:00,21,5,Traffic,Low
2025-11-18 14:00:00,14,1,Weather,Low
2025-11-16 05:00:00,5,6,Accident,High
2025-03-26 20:00:00,20,2,Traffic,Critical
2025-04-27 15:00:00,15,6,Weather,Low
2025-09-02 05:00:00,5,1,Traffic,Low
2025-07-14 10:00:00,10,0,Protest,Low
2025-08-25 05:00:00,5,0,Weather,High
2025-01-18 17:00:00,17,5,Protest,Medium
2025-05-16 20:00:00,20,4,Weather,Low
2025-03-29 07:00:00,7,5,Traffic,Medium
2025-10-19 22:00:00,22,6,Traffic,Medium
2025-03-22 08:00:00,8,5,Traffic,Critical
2025-08-11 02:00:00,2,0,Accident,High
2025-06-17 04:00:00,4,1,Fire,Low
2025-01-18 21:00:00,21,5,Accident,High
2025-02-03 15:00:00,15,0,Fire,Low
2025-07-15 05:00:00,5,1,Fire,High
2025-05-28 20:00:00,20,2,Accident,Critical
2025-02-01 05:00:00,5,5,Fire,Critical
2025-03-02 22:00:00,22,6,Traffic,Medium
2025-07-24 11:00:00,11,3,Protest,High
2025-02-16 00:00:00,0,6,Weather,Low
2025-03-08 16:00:00,16,5,Accident,Medium
2025-02-01 06:00:00,6,5,Weather,Low
2025-08-07 21:00:00,21,3,Weather,Low
2025-10-15 12:00:00,12,2,Protest,Medium
2025-02-06 15:00:00,15,3,Weather,Low
2025-05-07 21:00:00,21,2,Fire,Low
2025-03-19 23:00:00,23,2,Traffic,Low
2025-09-05 00:00:00,0,4,Fire,Medium
2025-03-22 00:00:00,0,5,Weather,Low
2025-02-04 09:00:00,9,1,Protest,Critical
2025-06-15 09:00:00,9,6,Weather,High
2025-05-09 21:00:00,21,4,Accident,Medium
2025-03-27 18:00:00,18,3,Protest,High
2025-03-11 01:00:00,1,1,Accident,Medium
2025-02-25 02:00:00,2,1,Protest,Critical
2025-12-24 04:00:00,4,2,Protest,High
2025-05-31 23:00:00,23,5,Accident,High
2025-10-29 01:00:00,1,2,Traffic,Low
2025-08-31 18:00:00,18,6,Protest,Critical
2025-06-04 08:00:00,8,2,Accident,High
2025-07-29 01:00:00,1,1,Weather,Medium
2025-02-23 10:00:00,10,6,Accident,Low
2025-11-04 23:00:00,23,1,Weather,Low
2025-02-13 17:00:00,17,3,Weather,Low
2025-06-19 00:00:00,0,3,Accident,Medium
2025-11-08 07:00:00,7,5,Fire,High
2025-04-15 07:00:00,7,1,Fire,Low
2025-10-17 06:00:00,6,4,Traffic,Low
2025-01-14 20:00:00,20,1,Weather,Low
2025-03-18 00:00:00,0,1,Traffic,Medium
2025-10-11 15:00:00,15,5,Fire,Medium
2025-02-05 07:00:00,7,2,Fire,Medium
2025-12-03 00:00:00,0,2,Weather,Low
2025-06-12 05:00:00,5,3,Traffic,Low
2025-12-15 04:00:00,4,0,Accident,High
2025-08-09 01:00:00,1,5,Weather,High
2025-03-09 12:00:00,12,6,Fire,Low
2025-09-27 07:00:00,7,5,Traffic,Low
2025-05-17 15:00:00,15,5,Weather,Low
2025-08-02 04:00:00,4,5,Protest,High
2025-09-10 18:00:00,18,2,Traffic,Critical
2025-09-09 15:00:00,15,1,Protest,High
2025-12-04 18:00:00,18,3,Accident,Low
2025-02-09 04:00:00,4,6,Fire,Medium
2025-02-26 07:00:00,7,2,Accident,High
2025-06-29 05:00:00,5,6,Traffic,Low
2025-06-11 14:00:00,14,2,Accident,Medium
2025-12-12 01:00:00,1,4,Protest,High
2025-11-24 15:00:00,15,0,Fire,Medium
2025-11-30 06:00:00,6,6,Weather,Low
2025-07-20 09:00:00,9,6,Weather,High
2025-04-13 09:00:00,9,6,Fire,High
2025-07-14 18:00:00,18,0,Accident,Medium
2025-09-17 22:00:00,22,2,Fire,Medium
2025-01-27 23:00:00,23,0,Fire,High
2025-05-03 23:00:00,23,5,Protest,Low
2025-01-27 13:00:00,13,0,Protest,High
2025-04-20 08:00:00,8,6,Accident,High
2025-11-26 04:00:00,4,2,Fire,Medium
2025-02-14 05:00:00,5,4,Weather,Low
2025-07-27 14:00:00,14,6,Protest,Critical
2025-11-11 22:00:00,22,1,Protest,Critical
2025-04-03 20:00:00,20,3,Weather,Low
2025-05-27 08:00:00,8,1,Protest,Medium
2025-05-10 06:00:00,6,5,Fire,Critical
2025-09-08 06:00:00,6,0,Protest,Low
2025-12-14 22:00:00,22,6,Traffic,Low
2025-03-30 01:00:00,1,6,Traffic,High
2025-05-17 10:00:00,10,5,Fire,High
2025-07-21 16:00:00,16,0,Traffic,Low
2025-04-07 12:00:00,12,0,Protest,Medium
2025-10-11 23:00:00,23,5,Accident,Medium
2025-07-27 17:00:00,17,6,Protest,Critical
2025-04-26 23:00:00,23,5,Fire,Medium
2025-12-03 19:00:00,19,2,Weather,Low
2025-03-11 18:00:00,18,1,Traffic,High
2025-10-29 23:00:00,23,2,Traffic,Low
2025-05-28 02:00:00,2,2,Fire,Low
2025-08-03 22:00:00,22,6,Weather,Critical
2025-03-17 10:00:00,10,0,Accident,High
2025-09-17 14:00:00,14,2,Fire,High
